#ZVView-data-copy:  11-Feb-2026 04:36:54
#=======================================
#
#name:   ENDF/B-VIII.1:BE-9 Ei2.00E+6 An 10
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  6
#data...
#            X            Y
#          MeV      b/eV/sr
          0.05     4.698e-8 
           0.1    4.9834e-8 
           0.2    5.6493e-8 
           0.3    6.0444e-8 
           0.4    5.2468e-8 
           0.5    4.6906e-8 
           0.6    4.3248e-8 
           0.7    3.6442e-8 
           0.8     3.615e-8 
           0.9    3.2271e-8 
             1    2.7661e-8 
           1.1    2.3856e-8 
           1.2    2.1295e-8 
           1.3    1.9246e-8 
           1.4    1.8367e-8 
           1.5    1.6611e-8 
           1.6    1.8807e-8 
           1.7    1.6172e-8 
           1.8    1.4635e-8 
           1.9     1.544e-8 
             2    1.3391e-8 
           2.1    1.4562e-8 
           2.2     1.544e-8 
           2.3    1.8733e-8 
           2.4    2.0124e-8 
           2.5    1.6758e-8 
           2.6    1.8367e-8 
           2.7    1.3757e-8 
           2.8    1.8441e-8 
           2.9    1.5074e-8 
             3    1.2221e-8 
           3.1    9.8057e-9 
           3.2     9.074e-9 
           3.3    1.1855e-8 
           3.4    8.1226e-9 
           3.5    1.0464e-8 
           3.6     5.781e-9 
           3.7    7.4641e-9 
           3.8    6.3664e-9 
           3.9    4.9029e-9 
             4    3.5125e-9 
           4.1    3.4393e-9 
           4.2    3.4393e-9 
           4.3    3.4393e-9 
           4.4     3.293e-9 
           4.5    2.8539e-9 
           4.6    3.0734e-9 
           4.7    4.6175e-8 
           4.8    1.9882e-7 
           4.9    1.5367e-9 
             5    2.5612e-9 
           5.1    2.8539e-9 
           5.2    2.6344e-9 
           5.3    2.1953e-9 
           5.4    2.4148e-9 
           5.5   4.3906e-10 
           5.6   2.1953e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei8.00E+6 An150
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  43
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    8.9937e-9 
         0.005    7.9127e-9 
          0.01     1.681e-8 
          0.05    2.3087e-8 
           0.1    2.2534e-8 
           0.2    2.1298e-8 
           0.3    1.9447e-8 
           0.4    1.9969e-8 
           0.5    1.3161e-8 
           0.6    9.6459e-9 
           0.7    1.1161e-8 
           0.8    8.9138e-9 
           0.9    1.1977e-8 
             1    7.9225e-9 
           1.1    8.0894e-9 
           1.2    1.0753e-8 
           1.3    1.0584e-8 
           1.4    8.2329e-9 
           1.5     9.453e-9 
           1.6    1.0173e-8 
           1.7    8.6806e-9 
           1.8    7.9844e-9 
           1.9    7.9476e-9 
             2     6.174e-9 
           2.1     7.456e-9 
           2.2    6.8693e-9 
           2.3    2.5146e-9 
           2.4    2.8367e-9 
           2.5    3.2727e-9 
           2.6    2.5649e-9 
           2.7    2.0975e-9 
           2.8    3.4997e-9 
           2.9    1.7978e-9 
             3    2.0248e-9 
           3.1    1.9055e-9 
           3.2    5.7761e-8 
           3.3    3.9117e-8 
           3.4   8.2625e-10 
           3.5    1.9782e-9 
           3.6    1.9055e-9 
           3.7    1.8328e-9 
           3.8   6.1094e-10 
           3.9   3.2296e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei9.00E+6 An 10
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  39
#data...
#            X            Y
#          MeV      b/eV/sr
         0.005    2.5211e-8 
          0.01    5.3272e-8 
          0.05    5.4888e-8 
           0.1    6.4693e-8 
           0.2    7.9837e-8 
           0.4    5.4627e-8 
           0.6    6.5192e-8 
           0.8     5.639e-8 
             1    4.4558e-8 
           1.2    3.0619e-8 
           1.4    2.9345e-8 
           1.6    2.1268e-8 
           1.8    1.6886e-8 
             2    1.9215e-8 
           2.2    1.5192e-8 
           2.4    1.5737e-8 
           2.6    2.9383e-8 
           2.8    1.0582e-8 
             3    1.8994e-8 
           3.2    1.7879e-8 
           3.4    1.1088e-8 
           3.6    9.3738e-9 
           3.8    4.2644e-9 
             4    1.7425e-8 
           4.2    9.2712e-9 
           4.4    1.0518e-8 
           4.6    8.2365e-9 
           4.8    2.5572e-9 
             5   7.2947e-10 
           5.2    4.3165e-9 
           5.4    4.1683e-9 
           5.6    4.4418e-9 
           5.8    2.1582e-9 
             6    6.2809e-9 
           6.2    2.2728e-8 
           6.4    1.3938e-7 
           6.6   7.9786e-11 
           6.8    2.2266e-9 
             7   1.3678e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei9.00E+6 An 60
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  39
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    5.6643e-9 
         0.005    1.3594e-8 
          0.01     3.323e-8 
          0.05    4.1689e-8 
           0.1    4.6296e-8 
           0.2    4.3011e-8 
           0.4    4.8713e-8 
           0.6    4.3539e-8 
           0.8    3.3759e-8 
             1    2.7037e-8 
           1.2    2.3563e-8 
           1.4    1.9636e-8 
           1.6    1.8314e-8 
           1.8    1.8277e-8 
             2    1.7597e-8 
           2.2    1.4312e-8 
           2.4    1.8428e-8 
           2.6    1.4312e-8 
           2.8    9.8936e-9 
             3    1.1593e-8 
           3.2    9.8558e-9 
           3.4     1.197e-8 
           3.6    9.8181e-9 
           3.8    7.4768e-9 
             4    6.7971e-9 
           4.2    5.0223e-9 
           4.4    4.6447e-9 
           4.6    3.8139e-9 
           4.8    4.0783e-9 
             5    3.2853e-9 
           5.2    2.8321e-9 
           5.4    3.4741e-9 
           5.6    1.2809e-7 
           5.8    2.6811e-9 
             6    1.2461e-9 
           6.2    1.0196e-9 
           6.4   3.3985e-10 
           6.6   3.7762e-10 
           6.8   1.5105e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei9.00E+6 An150
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  29
#data...
#            X            Y
#          MeV      b/eV/sr
        0.0001    1.3088e-8 
         0.001    1.2986e-8 
         0.005    2.2221e-9 
          0.01    1.2157e-8 
          0.05    1.3853e-8 
           0.1    2.7739e-8 
           0.2    1.9896e-8 
           0.4    1.6192e-8 
           0.6    9.8695e-9 
           0.8    1.0264e-8 
             1    9.5112e-9 
           1.2    8.9427e-9 
           1.4    9.0187e-9 
           1.6    6.8576e-9 
           1.8    7.1497e-9 
             2    6.4558e-9 
           2.2    5.2123e-9 
           2.4    4.4707e-9 
           2.6     3.117e-9 
           2.8    3.0805e-9 
             3    3.6064e-9 
           3.2    2.3698e-9 
           3.4    2.2198e-9 
           3.6     3.174e-9 
           3.8    3.2499e-8 
             4    1.7483e-8 
           4.2    1.1625e-9 
           4.4   7.0414e-10 
           4.6   1.2962e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.00E+7 An 10
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  43
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    3.8494e-8 
         0.005    1.8089e-7 
          0.01    1.5597e-8 
          0.05    2.9372e-8 
           0.1    7.1533e-8 
           0.2    8.2523e-8 
           0.4    5.5678e-8 
           0.6    5.8033e-8 
           0.8    3.5786e-8 
             1    1.6976e-8 
           1.2    2.9237e-8 
           1.4    2.5212e-8 
           1.6    2.5013e-8 
           1.8    1.8953e-8 
             2    1.5587e-8 
           2.2     1.683e-8 
           2.4    9.2421e-9 
           2.6    1.3521e-8 
           2.8     1.685e-8 
             3    2.3093e-8 
           3.2    1.0471e-8 
           3.4     2.119e-8 
           3.6    2.0773e-8 
           3.8     5.787e-9 
             4    3.5685e-9 
           4.2    9.8691e-9 
           4.4    6.0161e-9 
           4.6    8.7044e-9 
           4.8     8.496e-9 
             5    1.9675e-8 
           5.2    5.6571e-9 
           5.4    2.6908e-9 
           5.6    7.4562e-9 
           5.8    3.1863e-9 
             6    6.6133e-9 
           6.2   4.1691e-10 
           6.4    2.4824e-9 
           6.6    2.3202e-9 
           6.8    3.011e-10 
             7    2.1929e-9 
           7.2    2.7655e-8 
           7.4    1.7517e-7 
           7.6   3.4742e-11 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.00E+7 An 60
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  42
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    5.7551e-9 
         0.005    6.1388e-9 
          0.01    2.2253e-8 
          0.05    4.5887e-8 
           0.1    4.4813e-8 
           0.2    4.4621e-8 
           0.4    4.2012e-8 
           0.6    3.5605e-8 
           0.8    3.3265e-8 
             1    2.6627e-8 
           1.2    2.0642e-8 
           1.4    1.9567e-8 
           1.6    1.7956e-8 
           1.8    1.6536e-8 
             2    1.6114e-8 
           2.2    1.7649e-8 
           2.4    1.6767e-8 
           2.6    1.7611e-8 
           2.8     1.458e-8 
             3    8.9396e-9 
           3.2    7.2898e-9 
           3.4    9.3616e-9 
           3.6    8.2106e-9 
           3.8    8.3257e-9 
             4     8.249e-9 
           4.2    6.6759e-9 
           4.4    7.4049e-9 
           4.6    7.8653e-9 
           4.8    5.6784e-9 
             5     4.182e-9 
           5.2    3.6449e-9 
           5.4    4.2588e-9 
           5.6    2.8008e-9 
           5.8    2.3404e-9 
             6    1.3045e-9 
           6.2    2.4939e-9 
           6.4    4.0478e-8 
           6.6    8.6135e-8 
           6.8   5.3714e-10 
             7   6.5225e-10 
           7.2   5.7551e-10 
           7.4   1.5347e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.00E+7 An150
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  30
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    4.0301e-9 
         0.005    8.2974e-9 
          0.01    1.7949e-8 
          0.05    1.8732e-8 
           0.1    1.7191e-8 
           0.2    1.8909e-8 
           0.4    1.6101e-8 
           0.6    1.3519e-8 
           0.8    1.1745e-8 
             1    9.3256e-9 
           1.2    1.0168e-8 
           1.4    9.8275e-9 
           1.6    7.5528e-9 
           1.8    7.5222e-9 
             2    7.1271e-9 
           2.2    5.6553e-9 
           2.4    4.3857e-9 
           2.6     5.184e-9 
           2.8    3.4182e-9 
             3    3.9163e-9 
           3.2    3.3632e-9 
           3.4     1.627e-9 
           3.6    2.3312e-9 
           3.8    3.4135e-9 
             4    1.0113e-9 
           4.2    1.3076e-9 
           4.4    2.6478e-8 
           4.6    1.6345e-8 
           4.8   1.1289e-10 
             5   1.5099e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.10E+7 An 10
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  48
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    6.8779e-9 
         0.005    7.6232e-9 
          0.01    1.4628e-8 
          0.05    3.9911e-8 
           0.1    6.0904e-8 
           0.2    7.2035e-8 
           0.4      5.83e-8 
           0.6     6.534e-8 
           0.8    4.0463e-8 
             1    2.7779e-8 
           1.2    3.8999e-8 
           1.4    1.8529e-8 
           1.6    1.2287e-8 
           1.8    1.5761e-8 
             2    1.7641e-8 
           2.2    1.0394e-8 
           2.4    1.6076e-8 
           2.6    1.6982e-8 
           2.8    1.7969e-8 
             3    1.7196e-8 
           3.2    1.6512e-8 
           3.4    2.0814e-8 
           3.6    1.7618e-8 
           3.8    1.2566e-8 
             4    1.2521e-8 
           4.2    9.9327e-9 
           4.4    3.4903e-9 
           4.6    7.9831e-9 
           4.8    5.6399e-9 
             5    3.6341e-9 
           5.2    2.7593e-9 
           5.4    1.5115e-8 
           5.6    3.3554e-9 
           5.8    9.9439e-9 
             6    7.0408e-9 
           6.2    8.7092e-9 
           6.4    9.5704e-9 
           6.6    2.924e-10 
           6.8    7.3846e-9 
             7   3.8237e-10 
           7.2   4.1611e-10 
           7.4   1.0122e-10 
           7.6   2.4742e-10 
           7.8   1.1246e-10 
             8   1.1246e-10 
           8.2    2.9188e-8 
           8.4    1.4429e-7 
           8.8    1.8821e-9 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.10E+7 An 60
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  48
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    1.4904e-8 
         0.005    2.3846e-8 
          0.01    2.1983e-8 
          0.05    3.2341e-8 
           0.1      3.86e-8 
           0.2    3.7967e-8 
           0.4    3.4316e-8 
           0.6    3.0403e-8 
           0.8     2.433e-8 
             1    2.1163e-8 
           1.2    1.5723e-8 
           1.4    1.6469e-8 
           1.6    1.6059e-8 
           1.8    1.7698e-8 
             2    2.0195e-8 
           2.2    1.7065e-8 
           2.4    1.5463e-8 
           2.6     1.617e-8 
           2.8    1.8145e-8 
             3    1.3674e-8 
           3.2    1.1923e-8 
           3.4    1.2966e-8 
           3.6    1.0135e-8 
           3.8    8.3088e-9 
             4    6.4086e-9 
           4.2    4.4711e-9 
           4.4    6.3713e-9 
           4.6    5.7379e-9 
           4.8     6.036e-9 
             5    7.8244e-9 
           5.2    7.8244e-9 
           5.4    5.6634e-9 
           5.6    3.8377e-9 
           5.8    3.7259e-9 
             6    2.4964e-9 
           6.2    1.1923e-9 
           6.4    1.9375e-9 
           6.6    1.9375e-9 
           6.8     2.161e-9 
             7   9.3148e-10 
           7.2    1.4158e-9 
           7.4     1.193e-7 
           7.6   8.9422e-10 
           7.8   5.9615e-10 
             8   7.0792e-10 
           8.2   3.3533e-10 
           8.6   1.4904e-10 
           8.8   1.1178e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.10E+7 An150
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  31
#data...
#            X            Y
#          MeV      b/eV/sr
         0.005    8.6058e-9 
          0.01    1.0369e-8 
          0.05    1.5671e-8 
           0.1    1.5782e-8 
           0.2    1.3649e-8 
           0.4    1.1046e-8 
           0.6    1.0307e-8 
           0.8    9.1608e-9 
             1    1.0667e-8 
           1.2     1.075e-8 
           1.4    1.1713e-8 
           1.6    1.1109e-8 
           1.8    7.0555e-9 
             2    6.8746e-9 
           2.2    6.4937e-9 
           2.4    5.7715e-9 
           2.6    3.8137e-9 
           2.8    3.4898e-9 
             3    3.4167e-9 
           3.2    3.9544e-9 
           3.4    3.2765e-9 
           3.6    3.4236e-9 
           3.8    1.5668e-9 
             4    3.1747e-9 
           4.2    1.5622e-9 
           4.4    2.0743e-9 
           4.6    1.0314e-9 
           4.8    1.2877e-9 
             5    1.5083e-9 
           5.2    3.9776e-8 
           5.6   1.8271e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.20E+7 An 10
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  53
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    4.3069e-9 
         0.005    6.0435e-9 
          0.01     1.422e-8 
          0.05    5.5229e-9 
           0.1    4.3993e-8 
           0.2    4.4379e-8 
           0.4    3.6124e-8 
           0.6    4.4094e-8 
           0.8    4.1483e-8 
             1    3.3329e-8 
           1.2    1.7088e-8 
           1.4    3.1555e-8 
           1.6    1.1838e-8 
           1.8    1.6589e-8 
             2    5.8651e-9 
           2.2    1.3301e-8 
           2.4    1.6356e-8 
           2.6    1.5126e-8 
           2.8    8.2962e-9 
             3    1.1806e-8 
           3.2    1.4199e-8 
           3.4    1.5822e-8 
           3.6    3.2729e-8 
           3.8    2.1825e-8 
             4    2.0394e-8 
           4.2    4.7049e-9 
           4.4    1.0653e-8 
           4.6    1.3135e-8 
           4.8    1.4421e-8 
             5     3.641e-9 
           5.2    1.6645e-8 
           5.4     1.594e-9 
           5.6    1.0816e-8 
           5.8    1.9271e-8 
             6     9.162e-9 
           6.2     7.97e-10 
           6.4    9.0498e-9 
           6.6    5.2365e-9 
           6.8    7.7749e-9 
             7    4.0651e-9 
           7.2    1.0673e-8 
           7.4     6.298e-9 
           7.6    2.6644e-9 
           7.8    2.1817e-9 
             8    2.1143e-9 
           8.2    2.0582e-9 
           8.4   7.8577e-11 
           8.6   1.9083e-10 
           8.8   1.2348e-10 
             9    1.9572e-9 
           9.2    2.6525e-8 
           9.4     1.879e-7 
            10   3.3676e-11 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.20E+7 An 60
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  52
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    1.3016e-8 
         0.005    5.9504e-9 
          0.01    2.5103e-8 
          0.05    2.4991e-8 
           0.1    3.1016e-8 
           0.2    3.6966e-8 
           0.4    3.2169e-8 
           0.6    2.5363e-8 
           0.8     2.488e-8 
             1    1.7144e-8 
           1.2    1.3314e-8 
           1.4    1.2942e-8 
           1.6    1.0748e-8 
           1.8    1.0302e-8 
             2    1.1157e-8 
           2.2    1.3946e-8 
           2.4    1.5062e-8 
           2.6    1.5731e-8 
           2.8    1.8706e-8 
             3    1.5136e-8 
           3.2    1.9078e-8 
           3.4    1.1975e-8 
           3.6    1.0636e-8 
           3.8    1.1194e-8 
             4    8.6652e-9 
           4.2     1.019e-8 
           4.4    8.1817e-9 
           4.6    7.3636e-9 
           4.8    6.2479e-9 
             5    5.1322e-9 
           5.2    5.9875e-9 
           5.4    4.2768e-9 
           5.6    5.9875e-9 
           5.8    5.9875e-9 
             6    5.9875e-9 
           6.2    6.0247e-9 
           6.4    3.9793e-9 
           6.6    4.5743e-9 
           6.8    2.5661e-9 
             7    1.9339e-9 
           7.2    1.5248e-9 
           7.4    1.3388e-9 
           7.6    1.1901e-9 
           7.8    1.7479e-9 
             8   8.5536e-10 
           8.2    5.4148e-8 
           8.4    6.6644e-8 
           8.6   5.9504e-10 
           8.8    3.719e-10 
             9   1.4876e-10 
           9.2   1.1157e-10 
           9.4   1.4876e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.20E+7 An150
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  37
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    2.0722e-8 
         0.005    8.0427e-9 
          0.01    1.1455e-8 
          0.05    1.2817e-8 
           0.1    1.4791e-8 
           0.2    1.4274e-8 
           0.4    9.1173e-9 
           0.6    7.9186e-9 
           0.8    7.7103e-9 
             1    5.6754e-9 
           1.2    9.9061e-9 
           1.4    1.2675e-8 
           1.6    1.2599e-8 
           1.8    1.0238e-8 
             2    6.7861e-9 
           2.2    8.8898e-9 
           2.4    6.3525e-9 
           2.6    5.3896e-9 
           2.8    4.1358e-9 
             3    4.1485e-9 
           3.2    3.4473e-9 
           3.4    3.6552e-9 
           3.6     3.637e-9 
           3.8    3.4778e-9 
             4    2.1921e-9 
           4.2    2.4643e-9 
           4.4    1.9851e-9 
           4.6    1.7914e-9 
           4.8    1.2369e-9 
             5   9.1916e-10 
           5.2   4.5639e-10 
           5.4     1.029e-9 
           5.6   5.4803e-10 
           5.8    2.1381e-8 
             6    8.0791e-9 
           6.2   7.2949e-11 
           6.4   2.0107e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.30E+7 An 10
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  58
#data...
#            X            Y
#          MeV      b/eV/sr
         0.005     6.411e-9 
          0.01    1.2323e-8 
          0.05    3.9327e-8 
           0.1    7.0585e-8 
           0.2    8.6071e-8 
           0.4    5.9604e-8 
           0.6     5.841e-8 
           0.8    4.9712e-8 
             1     2.495e-8 
           1.2    1.9072e-8 
           1.4    1.2598e-8 
           1.6    2.0789e-8 
           1.8    1.3954e-8 
             2     6.124e-9 
           2.2    4.0362e-9 
           2.4    1.2638e-8 
           2.6    1.7595e-8 
           2.8    1.0705e-8 
             3    1.4052e-8 
           3.2    1.5255e-8 
           3.4    1.5696e-8 
           3.6    4.2358e-9 
           3.8    6.0132e-9 
             4    1.3877e-8 
           4.2    2.2974e-8 
           4.4    1.3212e-8 
           4.6    7.7241e-9 
           4.8     5.991e-9 
             5    8.9829e-9 
           5.2    1.4382e-8 
           5.4    6.1771e-9 
           5.6    1.5432e-8 
           5.8    8.8721e-9 
             6    5.4257e-9 
           6.2    1.1035e-8 
           6.4    9.6543e-9 
           6.6    5.7115e-9 
           6.8    5.7891e-9 
             7    3.2271e-9 
           7.2    5.9886e-9 
           7.4    7.1034e-9 
           7.6    1.0084e-8 
           7.8    5.3259e-9 
             8    1.2083e-8 
           8.2    5.2594e-9 
           8.4    9.4769e-9 
           8.6    5.4787e-9 
           8.8   3.7687e-10 
             9    2.7061e-9 
           9.2    5.3568e-9 
           9.4   1.5518e-10 
           9.6   1.6627e-10 
           9.8   4.4338e-11 
            10    1.9769e-9 
          10.2    2.5505e-8 
          10.4    1.4916e-7 
          10.6   8.8675e-11 
          10.8     1.855e-9 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.30E+7 An 60
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  56
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    5.5084e-9 
         0.005    5.8757e-9 
          0.01    2.0198e-8 
          0.05    2.8938e-8 
           0.1    3.7898e-8 
           0.2    4.2158e-8 
           0.4    3.6319e-8 
           0.6    2.7138e-8 
           0.8    2.0969e-8 
             1     1.961e-8 
           1.2    1.2596e-8 
           1.4    1.2045e-8 
           1.6    8.5197e-9 
           1.8    1.0466e-8 
             2    7.1977e-9 
           2.2    1.0797e-8 
           2.4     1.109e-8 
           2.6    1.1164e-8 
           2.8    1.0246e-8 
             3    1.0576e-8 
           3.2     8.483e-9 
           3.4    1.0282e-8 
           3.6    1.1678e-8 
           3.8    1.1054e-8 
             4    1.0062e-8 
           4.2     9.805e-9 
           4.4    7.7118e-9 
           4.6    8.5564e-9 
           4.8    7.4915e-9 
             5    7.3079e-9 
           5.2    8.5564e-9 
           5.4    5.8757e-9 
           5.6    6.6836e-9 
           5.8    5.2147e-9 
             6    3.7457e-9 
           6.2    4.6271e-9 
           6.4    5.1412e-9 
           6.6    5.4717e-9 
           6.8     6.096e-9 
             7    6.3163e-9 
           7.2    6.7203e-9 
           7.4    4.5169e-9 
           7.6    2.4237e-9 
           7.8    2.5706e-9 
             8    2.9746e-9 
           8.2    1.2853e-9 
           8.4    1.6158e-9 
           8.6    8.079e-10 
           8.8    9.548e-10 
             9    8.079e-10 
           9.2      1.13e-7 
           9.4    8.079e-10 
           9.6   7.3446e-10 
           9.8   8.4463e-10 
            10   4.0395e-10 
          10.2   1.4689e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.30E+7 An150
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  41
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001     1.004e-8 
         0.005    9.7336e-9 
          0.01    9.8326e-9 
          0.05    2.0647e-8 
           0.1    1.4603e-8 
           0.2    1.4381e-8 
           0.4    1.0395e-8 
           0.6    6.4911e-9 
           0.8    5.1248e-9 
             1    5.3751e-9 
           1.2    6.1215e-9 
           1.4    6.3979e-9 
           1.6    7.6396e-9 
           1.8    7.2659e-9 
             2    1.0769e-8 
           2.2    8.2479e-9 
           2.4    7.5433e-9 
           2.6    5.6182e-9 
           2.8    3.1816e-9 
             3    3.4585e-9 
           3.2    4.3963e-9 
           3.4    3.7232e-9 
           3.6    4.4922e-9 
           3.8    2.9894e-9 
             4    3.8002e-9 
           4.2    2.1344e-9 
           4.4     2.297e-9 
           4.6    2.2006e-9 
           4.8    2.6828e-9 
             5     2.315e-9 
           5.2    1.4137e-9 
           5.4    1.3299e-9 
           5.6   3.4261e-10 
           5.8   9.0222e-10 
             6   9.3869e-10 
           6.2   7.2214e-10 
           6.4    1.8937e-8 
           6.6    1.1082e-8 
           6.8   3.7277e-10 
             7   9.4454e-10 
           7.2   1.2606e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.35E+7 An 10
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  61
#data...
#            X            Y
#          MeV      b/eV/sr
         0.001    5.2159e-9 
         0.005    7.3191e-9 
          0.01    1.3313e-8 
          0.05    5.7099e-8 
           0.1     6.145e-8 
           0.2    4.8492e-8 
           0.4     3.455e-8 
           0.6    7.1437e-8 
           0.8    4.0152e-8 
             1    3.9589e-8 
           1.2     2.286e-8 
           1.4    1.7028e-8 
           1.6    1.2802e-8 
           1.8    1.0316e-8 
             2    1.9263e-8 
           2.2     1.718e-8 
           2.4    9.8469e-9 
           2.6      1.01e-8 
           2.8    1.0923e-8 
             3    7.8959e-9 
           3.2    1.2407e-8 
           3.4    7.8369e-9 
           3.6    8.9315e-9 
           3.8    8.3343e-9 
             4    3.3967e-9 
           4.2    9.8367e-9 
           4.4    5.3171e-9 
           4.6    5.2537e-9 
           4.8    5.4678e-9 
             5     7.957e-9 
           5.2    1.1816e-8 
           5.4    8.0386e-9 
           5.6    4.6056e-9 
           5.8    7.7837e-9 
             6    7.8143e-9 
           6.2    8.0488e-9 
           6.4    1.3492e-8 
           6.6    3.5496e-9 
           6.8    1.3543e-8 
             7    7.6104e-9 
           7.2    9.6226e-9 
           7.4    7.0416e-9 
           7.6    5.2435e-9 
           7.8    3.3661e-9 
             8   8.9725e-10 
           8.2    5.7023e-9 
           8.4    9.2067e-9 
           8.6    3.5292e-9 
           8.8    2.8767e-9 
             9   5.8117e-10 
           9.2    4.2567e-9 
           9.4   4.8941e-10 
           9.6    3.1294e-9 
            10    2.5198e-9 
          10.2     2.479e-9 
          10.4    1.9714e-9 
          10.6    1.5846e-8 
          10.8    1.3277e-8 
            11    1.6226e-7 
          11.2    4.2261e-9 
          11.4    3.4534e-9 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei1.35E+7 An 60
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  56
#data...
#            X            Y
#          MeV      b/eV/sr
         0.005    2.0268e-8 
          0.01    2.8375e-8 
          0.05    2.9996e-8 
           0.1    3.2293e-8 
           0.2    3.4962e-8 
           0.4     3.459e-8 
           0.6    2.6517e-8 
           0.8    2.5537e-8 
             1    2.0369e-8 
           1.2    1.6417e-8 
           1.4    1.3782e-8 
           1.6      8.58e-9 
           1.8     1.037e-8 
             2    9.3569e-9 
           2.2    7.7017e-9 
           2.4    1.1113e-8 
           2.6    8.0057e-9 
           2.8    1.0201e-8 
             3      8.58e-9 
           3.2     8.884e-9 
           3.4    7.3639e-9 
           3.6    6.8234e-9 
           3.8    6.6546e-9 
             4    6.9248e-9 
           4.2    8.1746e-9 
           4.4    6.1141e-9 
           4.6    7.2964e-9 
           4.8    8.5124e-9 
             5     8.884e-9 
           5.2    5.8776e-9 
           5.4     5.202e-9 
           5.6    6.3843e-9 
           5.8    6.7897e-9 
             6     4.594e-9 
           6.2    4.5264e-9 
           6.4    5.0669e-9 
