#ZVView-data-copy:  11-Feb-2026 04:36:54
#=======================================
#
#name:   ENDF/B-VIII.1:BE-9 Ei2.00E+6 An 10
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  6
#data...
#            X            Y
#          MeV      b/eV/sr
          0.45    5.4413e-8 
           0.5    5.1818e-8 
          0.55    8.5177e-8 
           0.6    4.9817e-8 
          0.65    5.5182e-8 
           0.7    6.9493e-8 
          0.75    4.4207e-8 
           0.8    9.4145e-8 
          0.85    7.4304e-8 
           0.9    7.2406e-8 
          0.95     1.019e-7 
             1    8.6357e-8 
          1.05    4.3723e-8 
           1.1    5.3797e-8 
          1.15    5.9418e-8 
           1.2    3.4572e-8 
          1.25    1.1419e-8 
           1.3    3.3905e-8 
          1.35    1.5758e-8 
           1.4    1.1424e-7 
          1.45     5.231e-8 
           1.5    9.0253e-7 
          1.55    7.6738e-9 
           1.6    2.1549e-9 
          1.65    6.7503e-9 
           1.7    1.2314e-9 
          1.75    6.4424e-9 
           1.8    1.2314e-9 
          1.85    1.0261e-9 
           1.9    1.6931e-9 
          1.95   9.2351e-10 
             2    1.2314e-9 
          2.05   8.7221e-10 
           2.1   7.1829e-10 
          2.15   2.0523e-10 
           2.2   1.0261e-10 
          2.25   5.1306e-10 
           2.3   3.0784e-10 
           2.4   2.0523e-10 
           2.5   3.0784e-10 
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.1:BE-9 Ei4.00E+6 An 60
#X.axis: Energy
#Y.axis: d{+2}{|s}/dE/d{|W}
#wdata:  2
#ldata:  52
#data...
#            X            Y
#          MeV      b/eV/sr
        0.0001    3.7773e-8 
         0.001    8.4989e-9 
         0.005    2.7197e-8 
          0.01    6.9054e-8 
          0.05     7.632e-8 
           0.1    7.1901e-8 
          0.15    7.4621e-8 
           0.2    6.5272e-8 
          0.25    6.3742e-8 
           0.3    7.1561e-8 
          0.35    5.7793e-8 
           0.4    5.9833e-8 
          0.45    6.0682e-8 
           0.5    4.6404e-8 
          0.55    6.6972e-8 
           0.6       7.7e-8 
          0.65     7.683e-8 
           0.7    6.7822e-8 
          0.75    5.5753e-8 
           0.8    5.4733e-8 
          0.85    5.4903e-8 
           0.9    4.6404e-8 
          0.95    4.8954e-8 
             1    4.5894e-8 
          1.05    3.8245e-8 
           1.1    3.4676e-8 
